Reference,Value,MPN,Manufacturer,Footprint,Group,Tolerance,Voltage rating,Power rating,Temperature,Status,Qualification,Datasheet,DNP,Purchasable design item,X mm,Y mm,Side
U1,XC7A200T-1SBG484C,XC7A200T-1SBG484C,TBD,Howard:Xilinx_SBG484__U1,FPGA physical pins,TBD,TBD,TBD,TBD,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete,"Review component ratings, pin map and circuit function before release.",https://docs.amd.com/v/u/en-US/ug475_7Series_Pkg_Pinout,False,True,16.4,14.6,Top
U2,S25FL256SAGMFI000,S25FL256SAGMFI000,TBD,Howard:SOIC-16W_7.5x10.3mm_P1.27mm__U2,Boot flash and JTAG,TBD,TBD,TBD,TBD,PROPOSED,Exact model 00: RESET and VIO are not brought out. RFU and DNU left unconnected by design. Do not substitute a G/R model without review.,https://www.infineon.com/assets/row/public/documents/10/49/infineon-s25fl128s-s25fl256s-128-mb-16-mb-256-mb-32-mb-fl-s-flash-spi-multi-io-3-v-datasheet-en.pdf,False,True,6.5,18.100001,Bottom
J4,JTAG_CUSTOM_2x3_1.27mm,TBD,TBD,Howard:PinHeader_2x03_P1.27mm_Vertical__J4,Boot flash and JTAG,TBD,TBD,TBD,TBD,PROPOSED,Custom pin map: requires documented adapter to external programmer. VTREF senses target 3.3 V; not a power input. No direct Digilent/ARM pinout compatibility claimed.,,False,True,2.664999,28.63,Top
SW1,PROGRAM_B_RESET,TBD,TBD,Howard:SW_SPST_TL3305A__SW1,Boot flash and JTAG,TBD,TBD,TBD,TBD,PROPOSED,Candidate footprint; exact switch order code must be checked against mechanical drawing.,,False,True,7.825001,28.796001,Bottom
R101,4.7kOhm,CRCW02014K70FKED,Vishay,Howard:R_0201_0603Metric__R101,Boot flash and JTAG,1%,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,12.475,19.625,Bottom
R102,4.7kOhm,CRCW02014K70FKED,Vishay,Howard:R_0201_0603Metric__R102,Boot flash and JTAG,1%,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,8.325,11.575,Bottom
R103,10kOhm,CRCW020110K0FKED,Vishay,Howard:R_0201_0603Metric__R103,Boot flash and JTAG,1%,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,1.875,18.425,Top
R104,4.7kOhm,CRCW02014K70FKED,Vishay,Howard:R_0201_0603Metric__R104,Boot flash and JTAG,1%,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,3.325,24.575,Bottom
R105,4.7kOhm,CRCW02014K70FKED,Vishay,Howard:R_0201_0603Metric__R105,Boot flash and JTAG,1%,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,1.875,20.025,Top
R106,4.7kOhm,CRCW02014K70FKED,Vishay,Howard:R_0201_0603Metric__R106,Boot flash and JTAG,1%,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,2.725,22.275,Top
R107,1kOhm,CRCW02011K00FKED,Vishay,Howard:R_0201_0603Metric__R107,Boot flash and JTAG,1%,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,0.875,18.425,Top
R108,1kOhm,CRCW02011K00FKED,Vishay,Howard:R_0201_0603Metric__R108,Boot flash and JTAG,1%,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,3.325,25.475,Bottom
R109,1kOhm,CRCW02011K00FKED,Vishay,Howard:R_0201_0603Metric__R109,Boot flash and JTAG,1%,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,0.775,16.725,Top
R110,1kOhm,CRCW02011K00FKED,Vishay,Howard:R_0201_0603Metric__R110,Boot flash and JTAG,1%,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,1.725,24.575,Bottom
R111,22Ohm,CRCW020122R0FNED,Vishay,Howard:R_0201_0603Metric__R111,Boot flash and JTAG,1%,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,1.525,21.275,Top
R112,0Ohm,CRCW02010000Z0ED,Vishay,Howard:R_0201_0603Metric__R112,Boot flash and JTAG,jumper <=50mOhm,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,0.875,20.025,Top
R113,0Ohm,CRCW02010000Z0ED,Vishay,Howard:R_0201_0603Metric__R113,Boot flash and JTAG,jumper <=50mOhm,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,2.725,23.175,Top
R114,0Ohm,CRCW02010000Z0ED,Vishay,Howard:R_0201_0603Metric__R114,Boot flash and JTAG,jumper <=50mOhm,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,4.925,24.275,Top
R115,0Ohm,CRCW02010000Z0ED,Vishay,Howard:R_0201_0603Metric__R115,Boot flash and JTAG,jumper <=50mOhm,30 V limiting voltage,0.05 W at 70 C; derate above,-55 to +155 C,PROPOSED_POPULATE,0201 assembly process and solder inspection required; series resistor tuning after SI review.,https://www.vishay.com/doc/?20052=,False,True,0.775,15.125,Top
